Wall time,Step,Value
1545677509.3621604,1,5.037780284881592
1545677538.8156073,101,1.383735179901123
1545677565.832546,201,2.913085460662842
1545677592.91397,301,2.354635715484619
1545677619.8226428,401,2.05256986618042
1545677646.6932843,501,2.6116952896118164
1545677673.7268622,601,2.737013816833496
1545677703.4747505,701,2.466604709625244
1545677730.5199032,801,2.3014116287231445
1545677757.5326056,901,2.246243476867676
1545677787.3689237,1001,2.168253183364868
1545677814.4976282,1101,2.678417682647705
1545677844.3250835,1201,2.118136167526245
1545677871.5120382,1301,2.4757940769195557
1545677898.51839,1401,2.1775259971618652
1545677928.412501,1501,2.336669445037842
1545677955.8022325,1601,1.9416444301605225
1545677982.8404324,1701,1.8060193061828613
1545678012.5959857,1801,1.807706356048584
1545678039.5466187,1901,1.9402081966400146
1545685057.0166812,1971,2.0330867767333984
1545685089.009967,2071,2.171180248260498
1545685116.1362765,2171,2.0577445030212402
1545685145.9969645,2271,2.164760112762451
1545685173.1518629,2371,1.3797636032104492
1545685200.2636228,2471,1.886531949043274
1545685230.1182618,2571,1.6240081787109375
1545685257.305363,2671,1.4567347764968872
1545685284.4657438,2771,1.5143694877624512
1545685314.388011,2871,1.8617472648620605
1545685341.658723,2971,1.4389727115631104
1545685371.4587867,3071,1.5290346145629883
1545685398.6974323,3171,1.5142490863800049
1545685425.7945423,3271,1.5194478034973145
1545685453.5948608,3371,1.843526840209961
1545685480.7058947,3471,1.259379506111145
1545685507.8264322,3571,1.2321685552597046
1545685537.9052498,3671,1.3030424118041992
1545685565.0856335,3771,1.3942275047302246
1545687426.1019871,3789,1.4690306186676025
1545687455.6347504,3889,1.3059355020523071
1545687482.968537,3989,1.281868577003479
1545687510.3718083,4089,1.2434167861938477
1545687537.7962346,4189,1.270786166191101
1545687565.1448977,4289,1.3457307815551758
1545687592.5377903,4389,1.182185411453247
1545687619.7731097,4489,1.1569912433624268
1545687647.177797,4589,1.194390058517456
1545687674.5076647,4689,1.2024567127227783
1545687701.8688421,4789,1.4170923233032227
1545687729.2580462,4889,1.4810969829559326
1545687756.5803938,4989,1.1765453815460205
1545687783.8446422,5089,1.3394865989685059
1545687811.1763885,5189,1.059847116470337
1545687838.5079858,5289,1.2145980596542358
1545687865.8694875,5389,1.0234426259994507
1545687893.2097442,5489,1.4271059036254883
1545687920.5580654,5589,0.9860646724700928
1545687947.9382408,5689,1.0984899997711182
1545687975.3616118,5789,0.9385296702384949
1545689380.8996892,5865,1.1160075664520264
1545689410.7080061,5965,1.1740634441375732
1545689438.3588715,6065,1.551015019416809
1545689466.0076444,6165,0.7342901825904846
1545689493.6949592,6265,1.102341651916504
1545689521.332689,6365,0.9732164740562439
1545689548.9509883,6465,0.9232282042503357
1545689576.4791973,6565,1.0660717487335205
1545689604.0597277,6665,0.8269068002700806
1545689631.683125,6765,1.1948217153549194
1545689659.2016604,6865,0.7835718393325806
1545689686.7186475,6965,0.7606931924819946
1545689714.2188158,7065,0.9529173374176025
1545689741.8421462,7165,0.8504762649536133
1545689769.3338313,7265,1.0800200700759888
1545689796.9230402,7365,1.0269932746887207
1545689824.470208,7465,0.7942026853561401
1545689852.0425801,7565,1.4111686944961548
1545689879.4681375,7665,0.9194297790527344
1545689906.9206712,7765,1.0048760175704956
1545689934.3347557,7865,0.7066837549209595
1545691333.637777,7925,0.652361273765564
1545691362.9272392,8025,0.9559361934661865
1545691390.1831992,8125,1.021257758140564
1545691417.514797,8225,0.8814705014228821
1545691444.836492,8325,0.7733244895935059
1545691472.150408,8425,0.5920302271842957
1545691499.4551332,8525,0.8337149620056152
1545691526.6108532,8625,0.9887716770172119
1545691553.826935,8725,1.067948341369629
1545691581.0590193,8825,1.1137689352035522
1545691608.3303802,8925,1.1143925189971924
1545691635.692818,9025,1.2690881490707397
1545691662.9308534,9125,1.0741716623306274
1545691690.0957236,9225,0.8990933895111084
1545691717.3644493,9325,1.0506943464279175
1545691744.6833735,9425,0.7545777559280396
1545691771.9596422,9525,0.6868207454681396
1545691799.293875,9625,0.6480590105056763
1545691826.5156868,9725,0.7353503704071045
1545691853.7250154,9825,1.0876485109329224
1545691881.093618,9925,0.8557378053665161
1545693363.0443566,10007,0.8354614973068237
1545693392.3950815,10107,0.8801968097686768
1545693419.609294,10207,0.6560166478157043
1545693446.8905528,10307,0.5793424844741821
1545693474.1659863,10407,0.6760241389274597
1545693501.598897,10507,0.4341454803943634
1545693528.9480379,10607,0.8548356294631958
1545693556.0174193,10707,0.5859807729721069
